Force_N,Avg_mean
0.0,-13416.04
98.1,23617.94
196.2,47858.63
294.3,113406.74
392.4,154890.88
490.5,212700.72
588.6,248413.2
686.7,306886.0
784.8,347976.67
882.9,373169.19
981.0,442172.26
1079.1,491021.37
1324.35,575699.95
1569.6,688252.15
