Force_N,Avg_mean
0.0,327.69
98.1,23254.69
196.2,77271.29
294.3,109965.24
392.4,169583.15
490.5,196028.91
588.6,267767.84
686.7,293067.33
784.8,324456.68
882.9,404545.34
981.0,431837.47
1079.1,496628.5
1324.35,590557.95
1569.6,701782.05
